amount,hour,accountAge,velocity,fraud
42368,19,648,1,0
3883,8,392,1,0
71415,5,933,4,1
80346,9,96,5,1
6485,13,397,5,1
32935,2,506,3,0
40423,21,484,2,0
42001,18,882,4,0
31980,1,653,1,0
98333,15,911,1,1
87661,16,73,5,1
26650,13,529,5,0
72936,6,892,1,0
42130,3,246,2,0
67515,19,538,4,1
27439,9,335,4,1
83410,14,1000,3,0
23941,21,592,5,0
5215,7,490,2,0
13408,16,139,2,0
75258,22,692,3,1
86480,19,593,2,1
77687,4,761,1,0
67634,15,923,2,1
83423,0,437,2,1
88618,9,881,4,1
73975,19,256,2,0
27142,7,664,2,0
5686,7,452,3,0
51187,13,605,3,1
34842,16,651,5,1
68720,7,803,4,1
66369,4,367,1,1
19164,21,262,2,0
43761,10,880,1,0
39500,16,339,2,0
33809,8,616,3,0
85450,21,988,3,0
9133,8,839,1,0
82575,0,524,3,1
82965,13,991,2,1
99539,8,267,1,0
45535,12,201,3,0
24677,9,664,3,0
19618,0,640,3,0
62968,0,535,2,1
67217,16,48,5,1
84040,20,408,4,1
29884,21,31,4,1
40163,17,416,5,1
92929,23,177,3,0
27370,9,9,4,0
42029,12,146,1,0
26167,11,786,4,1
42771,7,609,4,1
73028,3,327,3,0
36592,15,229,1,0
41359,18,915,4,0
96509,19,427,4,1
57031,10,183,1,1
49025,1,451,2,0
75245,2,386,4,1
17274,0,305,5,1
96525,5,218,3,1
63577,19,831,5,1
18910,9,90,2,0
183,2,96,3,0
3168,6,519,1,0
51546,14,702,4,1
41364,14,221,5,0
92358,20,943,3,1
93277,9,227,2,0
23771,7,289,1,0
47828,14,312,5,0
90526,7,170,3,0
43489,16,707,1,0
42147,5,319,1,0
37112,17,24,3,0
37901,4,136,4,1
85462,22,451,5,1
93671,17,361,5,1
50671,23,493,1,0
16460,1,644,3,0
4879,12,609,3,0
42857,2,512,2,0
7720,9,519,2,0
70274,22,395,3,0
43633,0,405,1,0
5939,2,779,1,0
63315,17,229,3,0
24597,7,431,2,0
80476,18,894,5,1
3609,2,708,2,0
4363,8,91,3,0
89968,9,774,5,1
70736,10,761,4,1
50937,14,327,1,1
91958,18,610,3,0
39541,0,764,1,0
74896,22,386,2,1
92971,12,169,5,1
90295,12,113,1,0
61920,19,757,3,0
75682,7,701,4,1
199,14,548,4,0
39446,5,692,2,0
63280,17,666,1,0
29558,23,829,1,0
79007,7,906,3,0
75919,5,914,1,0
8475,21,283,4,1
41734,2,103,3,0
2474,16,844,3,1
44702,13,754,2,0
36919,20,885,4,1
99397,14,535,1,1
56740,20,832,5,1
59733,19,218,1,0
82328,6,196,3,0
55257,20,23,4,1
61969,22,460,2,0
35211,7,548,5,0
